iter	Passed	Remaining
770	1752	520
771	1753	517
772	1756	515
773	1758	513
774	1759	510
775	1761	508
776	1763	506
777	1764	503
778	1766	501
779	1767	498
780	1771	496
781	1773	494
782	1774	491
783	1776	489
784	1777	486
785	1779	484
786	1783	482
787	1787	480
788	1788	478
789	1790	475
790	1792	473
791	1793	471
792	1795	468
793	1797	466
794	1799	464
795	1802	462
796	1804	459
797	1806	457
798	1807	454
799	1809	452
800	1811	450
801	1813	447
802	1819	446
803	1820	443
804	1822	441
805	1823	438
806	1825	436
807	1826	434
808	1828	431
809	1832	429
810	1835	427
811	1836	425
812	1838	422
813	1840	420
814	1841	418
815	1843	415
816	1849	414
817	1850	411
818	1852	409
819	1854	407
820	1856	404
821	1858	402
822	1863	400
823	1865	398
824	1867	396
825	1868	393
826	1870	391
827	1872	388
828	1877	387
829	1880	385
830	1882	382
831	1885	380
832	1887	378
833	1889	376
834	1895	374
835	1897	372
836	1898	369
837	1900	367
838	1902	365
839	1908	363
840	1910	361
841	1912	358
842	1914	356
843	1915	354
844	1917	351
845	1922	349
846	1924	347
847	1926	345
848	1928	342
849	1930	340
850	1931	338
851	1933	335
852	1938	334
853	1940	331
854	1942	329
855	1944	327
856	1945	324
857	1947	322
858	1949	319
859	1952	317
860	1954	315
861	1956	313
862	1957	310
863	1959	308
864	1960	306
865	1962	303
866	1963	301
867	1968	299
868	1970	297
869	1972	294
870	1974	292
871	1975	290
872	1978	287
873	1980	285
874	1983	283
875	1986	281
876	1988	278
877	1989	276
878	1993	274
879	1999	272
880	2001	270
881	2003	268
882	2004	265
883	2006	263
884	2008	260
885	2009	258
886	2013	256
887	2015	254
888	2017	251
889	2019	249
890	2020	247
891	2022	244
892	2024	242
893	2029	240
894	2031	238
895	2032	235
896	2034	233
897	2035	231
898	2036	228
899	2038	226
900	2042	224
901	2044	222
902	2046	219
903	2047	217
904	2049	215
905	2050	212
906	2051	210
907	2053	208
908	2054	205
909	2059	203
910	2061	201
911	2062	199
912	2064	196
913	2065	194
914	2067	192
915	2068	189
916	2071	187
917	2074	185
918	2076	182
919	2078	180
920	2079	178
921	2080	176
922	2082	173
923	2084	171
924	2089	169
925	2091	167
926	2093	164
927	2094	162
928	2096	160
929	2098	157
930	2101	155
931	2104	153
932	2106	151
933	2108	148
934	2109	146
935	2111	144
936	2112	142
937	2114	139
938	2118	137
939	2121	135
940	2123	133
941	2125	130
942	2126	128
943	2128	126
944	2130	124
945	2134	121
946	2136	119
947	2139	117
948	2141	115
949	2143	112
950	2147	110
951	2149	108
952	2151	106
953	2153	103
954	2154	101
955	2156	99
956	2158	96
957	2159	94
958	2163	92
959	2165	90
960	2167	87
961	2168	85
962	2170	83
963	2172	81
964	2174	78
965	2177	76
966	2179	74
967	2181	72
968	2184	69
969	2185	67
970	2187	65
971	2190	63
972	2192	60
973	2194	58
974	2196	56
975	2197	54
976	2199	51
977	2201	49
978	2202	47
979	2206	45
980	2208	42
981	2210	40
982	2211	38
983	2213	35
984	2214	33
985	2216	31
986	2217	29
987	2222	26
988	2223	24
989	2225	22
990	2227	20
991	2228	17
992	2230	15
993	2232	13
994	2233	11
995	2238	8
996	2240	6
997	2241	4
998	2243	2
999	2244	0
